index,label
0,0
1,0
2,1
3,1
4,1
5,0
6,0
7,1
8,1
9,0
10,1
11,1
12,0
13,0
14,1
15,1
16,0
17,0
18,0
19,0
20,1
21,0
22,0
23,0
24,0
25,0
26,1
27,0
28,0
29,1
30,0
31,0
32,0
33,1
34,0
35,1
36,0
37,0
38,0
39,0
40,1
41,1
42,0
43,0
44,0
45,1
46,1
47,0
48,1
49,0
50,1
51,0
52,0
53,0
54,0
55,1
56,1
57,1
58,1
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,1
71,1
72,0
73,0
74,0
75,1
76,1
77,1
78,0
79,1
80,0
81,0
82,1
83,1
84,0
85,1
86,0
87,0
88,0
89,1
90,0
91,0
92,0
93,0
94,1
95,0
96,1
97,1
98,0
99,0
100,0
101,0
102,0
103,0
104,1
105,1
106,0
107,0
108,1
109,0
110,0
111,1
112,1
113,0
114,1
115,1
116,0
117,0
118,0
119,1
120,0
121,0
122,0
123,1
124,0
125,0
126,0
127,0
128,1
129,1
130,0
131,0
132,0
133,1
134,0
135,0
136,0
137,0
138,1
139,1
140,1
141,1
142,0
143,0
144,1
145,0
146,0
147,0
148,0
149,1
150,0
151,0
152,0
153,0
154,0
155,0
156,1
157,0
158,0
159,1
160,0
161,0
162,0
163,0
164,0
165,0
166,1
167,1
168,0
169,1
170,1
171,1
172,1
173,1
174,0
175,0
176,0
177,1
178,0
179,0
180,0
181,1
182,0
183,0
184,1
185,0
186,0
187,1
188,0
189,0
190,0
191,0
192,0
193,1
194,1
195,0
196,0
197,1
198,1
199,1
200,0
201,0
202,0
203,1
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,1
215,0
216,1
217,1
218,0
219,0
220,1
221,0
222,1
223,0
224,0
225,0
226,1
227,0
228,1
229,0
230,0
231,0
232,1
233,0
234,1
235,1
236,0
237,0
238,1
239,1
240,1
241,0
242,1
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,1
253,0
254,0
255,0
256,0
257,0
258,1
259,0
260,0
261,0
262,1
263,0
264,0
265,0
266,0
267,1
268,0
269,1
270,1
271,1
272,0
273,0
274,0
275,0
276,1
277,1
278,1
279,1
280,0
281,0
282,0
283,0
284,0
285,1
286,0
287,0
288,0
289,0
290,0
291,0
292,1
293,0
294,0
295,0
296,1
297,1
298,0
299,0
300,0
301,0
302,1
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,1
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,1
320,1
321,0
322,1
323,0
324,1
325,0
326,1
327,1
328,0
329,0
330,0
331,1
332,0
333,1
334,0
335,1
336,0
337,1
338,0
339,1
340,0
341,0
342,1
343,0
344,1
345,1
346,1
347,0
348,0
349,0
350,0
351,0
352,0
353,1
354,1
355,0
356,1
357,1
358,1
359,1
360,1
361,0
362,0
363,0
364,0
365,0
366,1
367,0
368,0
369,0
370,0
371,0
372,0
373,1
374,0
375,1
376,1
377,0
378,0
379,0
380,0
381,0
382,0
383,1
384,0
385,0
386,0
387,1
388,1
389,0
390,1
391,0
392,0
393,0
394,1
395,1
396,1
397,0
398,0
399,0
400,1
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,1
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,1
417,1
418,1
419,0
420,0
421,1
422,0
423,1
424,0
425,0
426,1
427,0
428,1
429,0
430,0
431,0
432,0
433,0
434,1
435,1
436,0
437,0
438,1
439,0
440,1
441,0
442,0
443,1
444,0
445,1
446,0
447,0
448,0
449,0
450,0
451,0
452,1
453,1
454,1
455,1
456,0
457,0
458,0
459,0
460,0
461,1
462,0
463,0
464,0
465,0
466,0
467,1
468,1
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,1
478,0
479,0
480,0
481,1
482,0
483,1
484,0
485,0
486,1
487,0
488,0
489,0
490,0
491,0
492,0
493,1
494,0
495,1
496,0
497,0
498,0
499,1
500,0
501,0
502,0
503,0
504,1
505,0
506,1
507,1
508,1
509,1
510,0
511,0
512,0
513,0
514,0
515,1
516,0
517,0
518,0
519,1
520,0
521,0
522,0
523,1
524,0
525,0
526,0
527,1
528,1
529,0
530,0
531,1
532,1
